# TABLE
0,0
1,0.156434
2,0.309017
3,0.453991
4,0.587785
5,0.707107
6,0.809017
7,0.891007
8,0.951057
9,0.987688
10,1
11,0.987688
12,0.951056
13,0.891006
14,0.809017
15,0.707106
16,0.587785
17,0.45399
18,0.309016
19,0.156434
20,-8.02679e-07
21,-0.156435
22,-0.309018
23,-0.453991
24,-0.587786
25,-0.707108
26,-0.809018
27,-0.891007
28,-0.951057
29,-0.987689
30,-1
31,-0.987688
32,-0.951056
33,-0.891006
34,-0.809016
35,-0.707106
36,-0.587784
37,-0.453989
38,-0.309015
39,-0.156432
# SIGNAL
0,0
1,0.0292301
2,0.0584602
3,0.0876903
4,0.11692
5,0.145585
6,0.174095
7,0.202606
8,0.231116
9,0.258813
10,0.285902
11,0.31299
12,0.340079
13,0.36642
14,0.39142
15,0.41642
16,0.441419
17,0.46603
18,0.488326
19,0.510621
20,0.532917
21,0.555212
22,0.574483
23,0.593525
24,0.612567
25,0.631609
26,0.647987
27,0.663307
28,0.678627
29,0.693947
30,0.70721
31,0.71843
